"","coID","sales","strata"
"1",6578,124.4302005,1
"2",6531,164.4604124,1
"3",4555,191.6160813,1
"4",8497,210.4967954,1
"5",2096,842.9068215,1
"6",5137,876.7317018,1
"7",721,998.5266585,1
"8",8396,1016.209706,1
"9",6705,1241.130076,1
"10",5495,1271.885908,1
"11",5387,1292.140253,1
"12",7514,1387.964211,1
"13",8483,1787.492931,1
"14",4744,1799.905218,1
"15",6566,1800.076066,1
"16",6722,1941.345162,1
"17",8507,2090.668961,1
"18",7456,2098.170309,1
"19",8399,2237.53403,1
"20",6524,2296.505404,1
"21",8409,2327.708622,1
"22",6475,2362.348328,1
"23",5676,2453.799359,1
"24",9054,2547.265148,1
"25",4634,2550.69101,1
"26",8513,2618.835413,1
"27",8630,2624.056681,1
"28",8380,2686.831571,1
"29",8565,2813.143645,1
"30",9396,2861.443377,1
"31",8572,2918.97325,1
"32",8282,3141.07336,1
"33",8404,3172.060139,1
"34",3229,3210.403433,1
"35",8636,3227.647286,1
"36",4678,3263.768149,1
"37",6690,3478.839797,1
"38",5630,3490.505727,1
"39",2042,3513.865747,1
"40",6824,3697.85611,1
"41",6837,3728.647394,1
"42",7281,3820.24762,1
"43",5151,3838.629664,1
"44",9216,3898.735788,1
"45",5403,4088.022042,1
"46",1960,4148.513909,1
"47",6743,4209.404681,1
"48",2191,4327.790476,1
"49",8556,4328.163071,1
"50",6496,4457.426664,1
"51",6619,4458.959631,1
"52",6507,4514.032568,1
"53",5537,4543.461514,1
"54",8550,4631.807128,1
"55",8613,4747.855531,1
"56",6829,4794.793491,1
"57",2043,4964.487573,1
"58",6736,5119.267047,1
"59",8450,5121.692608,1
"60",6466,5127.159393,1
"61",4651,5135.950213,1
"62",5332,5186.883491,1
"63",6742,5296.526503,1
"64",8569,5402.674158,1
"65",8421,5408.893359,1
"66",5623,5441.384003,1
"67",4743,5445.648862,1
"68",8522,5469.492483,1
"69",8567,5478.861488,1
"70",9160,5678.117054,1
"71",8475,5759.563471,1
"72",5473,5777.825092,1
"73",6750,5866.247245,1
"74",8289,5874.375618,1
"75",6633,5975.603549,1
"76",5603,6003.168228,1
"77",5108,6086.666976,1
"78",8626,6105.466894,1
"79",8539,6266.181263,1
"80",6691,6446.235668,1
"81",5667,6460.055628,1
"82",8571,6507.234982,1
"83",7347,6514.27396,1
"84",7467,6532.944655,1
"85",8338,6598.84778,1
"86",2153,6618.16891,1
"87",8440,6626.275386,1
"88",8405,6717.374037,1
"89",8306,6740.717878,1
"90",6594,6752.612435,1
"91",8534,6761.131347,1
"92",2077,6763.093988,1
"93",6724,6792.708828,1
"94",9151,6911.085184,1
"95",4601,6925.303206,1
"96",6556,6932.05217,1
"97",5396,6991.623518,1
"98",6635,7002.395722,1
"99",6470,7029.565692,1
"100",4545,7030.393799,1
"101",463,7042.726407,1
"102",6830,7048.062328,1
"103",6640,7051.767917,1
"104",6559,7071.558514,1
"105",8376,7147.494019,1
"106",2956,7188.238583,1
"107",5066,7193.598296,1
"108",6569,7212.450284,1
"109",5683,7246.36953,1
"110",8548,7278.603733,1
"111",8646,7282.914196,1
"112",9057,7383.161019,1
"113",5014,7410.926801,1
"114",2214,7420.722713,1
"115",4592,7421.982531,1
"116",8589,7481.515586,1
"117",2195,7494.69328,1
"118",6694,7548.263109,1
"119",5194,7554.178939,1
"120",8606,7623.988202,1
"121",8478,7705.867384,1
"122",9294,7717.988262,1
"123",8354,7761.960249,1
"124",8573,7762.533124,1
"125",2230,7813.567034,1
"126",8468,7817.985626,1
"127",9327,7859.180967,1
"128",5315,7924.841941,1
"129",804,7932.574023,1
